LocomotionID,PrimateID,LMTypeCd,Checked,PctOfTime,CitationID,Comment,OrigIDPhysical,AuthorAddStamp,AuthorEditStamp,AuthorReviewStamp,AuthorIsDupeStamp,AdminReviewStamp
145,57,VERT,-1,,1235,"The main mode of locomotion for travel (within forested areas), as with other indriids",4488,,9/1/2016,5/31/2009,,
146,58,CLIM,-1,18,1250,,1012,,,,,
147,58,LEAP,-1,29,1250,,1012,,,6/22/2009,,
148,58,QUAD,-1,1,1250,<1,1012,,,6/22/2009,,
149,58,VERT,-1,53,1250,,1012,,,6/22/2009,,
150,59,BIPE,-1,,1302,Bipedal when on the ground 	(% Unavaiable),3561,,8/19/2016,11/11/2012,,
151,59,SUSP,-1,,1302,Occasionall Suspensory (% Unavailable),3561,,8/19/2016,11/11/2012,,
152,59,VERT,-1,,,Primarily a Vertical Clinger and Leaper (% Unavailable),3561,,,11/11/2012,,
153,59,VERT,-1,,,,3562,,,11/11/2012,,
154,59,VERT,-1,,1302,,3563,,8/19/2016,11/11/2012,,
155,60,VERT,-1,,1326,,4923,,6/24/2009,6/25/2009,,
156,68,CLIM,-1,14,1355,,2213,,,6/3/2009,,
157,68,LEAP,-1,6,1355,,2213,,,6/3/2009,,
158,68,QUAD,-1,60,1355,,2213,,,6/3/2009,,
159,68,SUSP,-1,2,1355,,2213,,,6/3/2009,,
160,71,CLIM,-1,,1384,,2209,,,5/25/2009,,
161,71,QUAD,-1,,1384,,2209,,,5/25/2009,,
163,71,CLIM,-1,,1383,,2210,,,5/25/2009,,
164,71,QUAD,-1,,1383,,2210,,,5/25/2009,,
165,71,SUSP,-1,,1383,,2210,,,5/25/2009,,
166,72,CLIM,-1,,1389,,2205,,,5/27/2009,,
167,72,QUAD,-1,,1389,,2205,,,5/27/2009,,
168,72,SUSP,-1,,1389,,2205,,,5/27/2009,,
169,73,QUAD,-1,,1400,,2511,,7/1/2009,5/6/2009,,
170,74,CLIM,-1,,1411,,3385,,,5/6/2009,,
171,74,QUAD,-1,,1411,,3385,,,5/6/2009,,
172,74,SUSP,-1,,1411,,3385,,,5/6/2009,,
173,75,BIPE,0,,1423,,3381,,,5/6/2009,,
174,75,CLIM,-1,,1423,,3381,,,5/6/2009,,
175,75,QUAD,-1,,1423,,3381,,,5/6/2009,,
176,75,SUSP,-1,,1423,,3381,,,5/6/2009,,
177,77,CLIM,-1,,1466,,3953,,,6/9/2009,,
178,77,QUAD,-1,,1466,,3953,,,6/9/2009,,
179,78,CLIM,-1,,1478,,3399,,,6/9/2009,,
180,78,QUAD,-1,,,,3399,,,6/9/2009,,
181,79,CLIM,-1,,1509,,2539,,,6/9/2009,,
182,79,QUAD,-1,,1509,,2539,,,6/9/2009,,
183,80,CLIM,-1,,1527,,3807,,,6/9/2009,,
184,80,QUAD,-1,,1527,,3807,,,6/9/2009,,
185,80,CLIM,-1,,1536,,3808,,,6/9/2009,,
186,80,QUAD,-1,,1536,,3808,,,6/9/2009,,
187,81,CLIM,-1,,1539,,3868,,,6/9/2009,,
188,81,QUAD,-1,,1539,,3868,,,6/9/2009,,
189,82,CLIM,-1,48.9,1558,,4555,,,6/23/2009,,
190,82,QUAD,-1,43.6,1558,,4555,,,6/23/2009,,
191,82,SUSP,-1,8.9,1558,,4555,,,6/23/2009,,
192,83,CLIM,-1,,1593,,4041,,,7/4/2009,,
193,83,QUAD,-1,,1593,,4041,,,7/4/2009,,
