MonkeyNumberGroves,NumberIn96Edition,ReferenceFullSpecies,SuppressTaxa,SpeciesInNewGroves,sp_nov,ONly in IUCN,Superfamily,Suborder,Ifraorder,Family,Subfamily,Tribe,Genus,Subgenus,Species-group,Species,Subspecies,Describer,YearDescribed,LatinName
1353,,,0,1,0,0,Ceboidea,Anthropoidea/Haplorrhini,Platyrrhini,Callitrichidae,Callitrichinae,,Leontocebus,,,nigrifrons,,I. Geoffrey,1850,Leontocebus nigrifrons
1354,,,0,1,0,0,Ceboidea,Anthropoidea/Haplorrhini,Platyrrhini,Callitrichidae,Callitrichinae,,Leontocebus,,,cruzlimai,,Herskovitz,1966,Leontocebus cruzlimai
1355,,,0,1,0,0,Ceboidea,Anthropoidea/Haplorrhini,Platyrrhini,Callitrichidae,Callitrichinae,,Leontocebus,,,fuscicollis,,Spix,1823,Leontocebus fuscicollis
1356,,1355,0,0,0,0,Ceboidea,Anthropoidea/Haplorrhini,Platyrrhini,Callitrichidae,Callitrichinae,,Leontocebus,,,fuscicollis,fuscicollis,Spix,1823,Leontocebus fuscicollis fuscicollis
1357,,1355,0,0,0,0,Ceboidea,Anthropoidea/Haplorrhini,Platyrrhini,Callitrichidae,Callitrichinae,,Leontocebus,,,fuscicollis,avilapiresi,Herskowitz,1966,Leontocebus fuscicollis avilapiresi
1369,,,0,1,0,1,Cheirogaleoidea,Prosimii/Strepsirhini,Lemuriformes,Cheirogaleidae,Cheirogaleinae,,Cheirogaleus,,,andysabini,,"Lei R, McLain AT, Frasier CL, Taylor JM, Bailey CA, Engberg SE, Ginter AI, Randriamanpionona R, Groves CP, Mittermeier RA, and Louis EE.",2015,Cheirogaleus andysabini
1370,,1,1,1,1,0,Cheirogaleoidea,Lemuriformes,Prosimii/Strepsirhini,Cheirogaleidae,Cheirogaleinae,,Cheirogaleus,,,species nova 4,,Lei et al,2014,Cheirogaleus species nova 4
1371,,1,0,1,1,1,Cheirogaleoidea,Prosimii/Strepsirhini,Lemuriformes,Cheirogaleidae,Cheirogaleinae,,Cheirogaleus,,Cheirogaleidae,thomasi,,Forsyth Major,1894,Cheirogaleus thomasi
1372,,,1,1,0,0,Ceboidea,Anthropoidea/Haplorrhini,Platyrrhini,Callitrichidae,Callitrichinae,,Mico,,,humilus,,"van Roosmalen MGM, van Roosmalen T, Mittermeier RA, da Fonseca GAB",1998,Mico humilus
1373,,,1,0,1,0,Tarsioidea,Haplorrhini,Tarsier for me is,Tarsiidae,,,Carlito,,,syrichta,Sp. nov. Samar Island,"Brown RM, Weghorst JA, Olson KV, Duya MRM, Barley AJ, Duya MV, Shekelle M, Neri-Arboleda I, Esselstyn JA, Dominy NJ, Ong PS, Moritz GL, Luczon A, Siler CD",2013,Carlito syrichta Sp. nov. Samar Island
1374,,,1,0,1,0,Tarsioidea,Haplorrhini,Tarsiiformes,Tarsiidae,,,Carlito,,,syrichta,Sp. nov. Mindanao island,"Brown RM, Weghorst JA, Olson KV, Duya MRM, Barley AJ, Duya MV, Shekelle M, Neri-Arboleda I, Esselstyn JA, Dominy NJ, Ong PS, Moritz GL, Luczon A, Siler CD",2014,Carlito syrichta Sp. nov. Mindanao island
1375,,,1,0,1,0,Tarsioidea,Haplorrhini,Tarsiiformes,Tarsiidae,,,Carlito,,,syrichta,Dinagat Island sp.nov,"Brown RM, Weghorst JA, Olson KV, Duya MRM, Barley AJ, Duya MV, Shekelle M, Neri-Arboleda I, Esselstyn JA, Dominy NJ, Ong PS, Moritz GL, Luczon A, Siler CD.",2014,Carlito syrichta Dinagat Island sp.nov
1376,,,0,1,0,0,Ceboidea,Anthropoidea/Haplorrhini,Platyrrhini,Aotidae,,,Callicebus,,,urubambensis,,Vermeer J and Tello-Alvarado JC,2015,Callicebus urubambensis
1377,,,0,1,0,0,Ceboidea,Anthropoidea/Haplorrhini,Platyrrhini,Aotidae,,,Callicebus,,,toppini,,Thomas,1914,Callicebus toppini
1378,,,0,0,1,0,,,Lemuriformes,,,,Cheirogaleus,,,Species nova 5,,Lei et al.,2014,Cheirogaleus Species nova 5
1379,,,0,0,1,0,,,Lemuriformes,,,,Cheirogaleus,,,Species nova 6,,Lei et al.,2014,Cheirogaleus Species nova 6
1380,,,1,0,1,0,,,Lemuriformes,,,,Cheirogaleus,,,Species nova 7,,Lee et al.,2014,Cheirogaleus Species nova 7
1381,,,0,1,0,1,Lemuroidea,Prosimii/Strepsirhini,Lemuriformes,Lepilemuridae,,,Lepilemur,,,tymerlachsoni,,Louis et al.,2006,Lepilemur tymerlachsoni
